date,close,high,low,open,rsi_sig,cci_sig,donchian_sig,return_sig
2024-04-05,518.43,520.44,514.01,514.46,0,0,0,0
2024-04-04,513.07,523.8674,512.755,523.52,0,0,0,0
2024-04-03,519.41,520.95,517.665,517.72,0,0,0,0
2024-04-02,518.84,518.98,516.48,518.24,0,0,0,0
2024-04-01,522.16,524.38,520.97,523.83,0,0,0,0
2024-03-28,523.07,524.61,522.78,523.21,0,0,0,0
2024-03-27,523.17,523.21,519.485,521.71,0,0,0,0
2024-03-26,518.81,521.58,518.4,521.23,0,0,0,0
2024-03-25,519.77,520.95,519.61,519.8,0,0,0,0
2024-03-22,521.21,522.605,520.97,522.11,0,0,0,0
2024-03-21,522.2,524.11,521.91,523.39,0,0,0,0
2024-03-20,520.48,520.62,515.08,515.77,0,0,0,0
2024-03-19,515.71,515.995,511.12,512.15,0,0,0,0
2024-03-18,512.86,515.48,512.44,514.0,0,0,0,0
2024-03-15,509.83,511.7,508.122,510.21,0,0,0,0
2024-03-14,514.95,517.125,511.82,516.97,0,0,0,0
2024-03-13,515.97,517.29,514.49,517.11,0,0,0,0
2024-03-12,516.78,517.38,510.86,513.45,0,0,0,0
2024-03-11,511.28,511.88,508.5,510.48,0,0,0,0
2024-03-08,511.72,518.2201,511.13,515.46,0,0,0,0
2024-03-07,514.81,515.89,509.8053,513.14,0,0,0,0
2024-03-06,509.75,512.069,508.42,510.55,0,1,0,-1
2024-03-05,507.18,510.7,504.91,510.24,0,1,0,-1
2024-03-04,512.3,514.2,512.0,512.03,0,0,0,-1
2024-03-01,512.85,513.29,508.56,508.98,0,0,0,-1
2024-02-29,508.08,509.74,505.35,508.07,0,1,0,-1
2024-02-28,506.26,506.855,504.96,505.33,0,1,0,-1
2024-02-27,506.93,507.16,504.75,506.7,0,1,0,-1
2024-02-26,505.99,508.75,505.86,508.3,0,1,0,-1
2024-02-23,507.85,510.13,507.1,509.27,0,0,0,-1
2024-02-22,507.5,508.49,503.02,504.01,0,1,0,-1
2024-02-21,497.21,497.37,493.56,495.42,1,1,0,-1
2024-02-20,496.76,498.41,494.45,497.72,0,1,0,-1
2024-02-16,499.51,502.87,498.75,501.7,0,1,0,-1
2024-02-15,502.01,502.2,498.795,499.29,0,1,0,-1
2024-02-14,498.57,499.07,494.4,496.79,0,1,0,-1
2024-02-13,494.08,497.09,490.715,494.53,0,1,0,-1
2024-02-12,500.98,503.5,500.24,501.17,0,0,0,-1
2024-02-09,501.2,501.65,498.49,498.84,0,0,0,-1
2024-02-08,498.32,498.71,497.26,498.1,0,0,0,-1
2024-02-07,498.1,498.53,495.36,496.29,0,0,0,-1
2024-02-06,493.98,494.32,492.05,493.52,0,1,0,-1
2024-02-05,492.55,494.3778,490.23,493.695,0,1,0,-1
2024-02-02,494.35,496.05,489.3,489.65,0,1,0,-1
2024-02-01,489.2,489.23,483.8,484.63,0,1,0,-1
2024-01-31,482.88,489.0813,482.86,488.62,0,1,0,-1
2024-01-30,490.89,491.62,490.11,490.56,0,0,0,-1
2024-01-29,491.27,491.415,487.17,487.73,0,0,0,-1
2024-01-26,487.41,489.12,486.54,487.59,0,1,0,-1
2024-01-25,488.03,488.305,485.39,487.575,0,1,0,-1
2024-01-24,485.39,488.77,484.8819,487.81,0,1,0,-1
2024-01-23,484.86,485.105,482.89,484.01,1,1,0,-1
2024-01-22,483.45,485.22,482.78,484.01,1,1,0,-1
2024-01-19,482.43,482.72,476.5374,477.65,1,1,0,-1
2024-01-18,476.49,477.06,472.42,474.01,1,1,0,-1
2024-01-17,472.29,472.79,469.87,471.82,1,1,0,-1
2024-01-16,474.93,476.6098,473.06,475.26,0,1,0,-1
2024-01-12,476.68,478.6,475.23,477.84,0,1,0,-1
2024-01-11,476.35,478.12,472.26,477.59,0,1,0,-1
2024-01-10,476.56,477.4481,473.87,474.16,0,0,0,-1
2024-01-09,473.88,474.93,471.35,471.87,1,1,0,-1
2024-01-08,474.6,474.75,468.3,468.43,1,1,0,-1
2024-01-05,467.92,470.44,466.43,467.49,1,1,0,-1
2024-01-04,467.28,470.96,467.05,468.3,1,1,0,-1
2024-01-03,468.79,471.19,468.17,470.43,1,0,0,-1
2024-01-02,472.65,473.67,470.49,472.16,0,0,0,-1
2023-12-29,475.31,477.03,473.3,476.49,0,0,0,-1
2023-12-28,476.69,477.55,476.26,476.88,0,0,0,-1
2023-12-27,476.51,476.66,474.89,475.44,0,0,0,-1
2023-12-26,475.65,476.58,473.99,474.07,0,0,0,-1
2023-12-22,473.65,475.38,471.7,473.86,0,0,0,-1
